case_id,country_code,country_name,forecast_origin,target_timestamp,horizon,actual_MW,lag_1h,lag_2h,lag_6h,lag_12h,lag_24h,lag_48h,lag_168h,rolling_mean_24h,rolling_std_24h,rolling_mean_168h,rolling_max_24h,rolling_min_24h,solar_mw_lag1h,wind_onshore_mw_lag1h,wind_offshore_mw_lag1h,nuclear_mw_lag1h,gas_mw_lag1h,coal_mw_lag1h,hydro_reservoir_mw_lag1h,hydro_river_mw_lag1h,biomass_mw_lag1h,oil_mw_lag1h,other_mw_lag1h,waste_mw_lag1h,hydro_pumped_mw_lag1h,total_gen_mw_lag1h,solar_share,wind_share,hydro_share,renewable_share,fossil_share,hour,dayofweek,month,year,quarter,day_of_year,week_of_year,is_weekend,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,is_holiday,hour_x_weekend,peat_mw_lag1h,gas_share,peat_share
LIVE_DE_h24_01,DE,Germany,2026-08-24 00:00:00+00:00,2026-08-25 00:00:00+00:00,24,40409.94355,36164.6833825,37045.1212675,41491.1322325,40743.3489325,34078.7682575,37576.9980825,37605.5795425,39243.759975416666,3444.680156856909,46834.84197507441,44230.3100475,33661.343545,0.0,8749.056972499999,2388.1995,0.0,3575.7456575,0.0,27.5277,1095.5120225,3679.319155,338.41233250000005,145.03018,861.1078,31.06545,20890.97677,0.0,0.5331132476530919,0.0537571667837338,0.7629904300544583,0.1873611766981061,2,0,8,2026,3,236,35,0,0.4999999999999999,0.8660254037844387,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_02,DE,Germany,2026-08-24 01:00:00+00:00,2026-08-25 01:00:00+00:00,24,40722.6465375,35579.50083,36164.6833825,40657.1111225,38970.59031,33661.343545,36975.0380475,38213.2519425,39306.29049927084,3359.410571065578,46822.781982738095,44230.3100475,33661.343545,0.0,8405.736965,2187.6352500000003,0.0,3597.637475,0.0,16.18755,1089.4728775,3654.259005,338.6145575,147.09493,860.43765,26.9231,20323.99936,0.0,0.5212247858976512,0.0544017153275486,0.7554266941041667,0.193675071661683,3,0,8,2026,3,236,35,0,0.7071067811865475,0.7071067811865476,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_03,DE,Germany,2026-08-24 02:00:00+00:00,2026-08-25 02:00:00+00:00,24,40805.19591,35890.71333,35579.50083,39449.719985,39375.336065,33902.2161125,37431.5150275,39551.1937275,39399.18090697917,3224.656099420297,46808.95734813988,44230.3100475,33902.2161125,0.0,7684.010614999999,1841.8755,0.0,3516.2003,0.0,17.37265,1072.22506,3653.65298,338.48233500000003,150.41093,859.68895,32.2808,19166.20012,0.0,0.4970148519455196,0.0568499599909217,0.744494825038903,0.2011187721544045,4,0,8,2026,3,236,35,0,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_04,DE,Germany,2026-08-24 03:00:00+00:00,2026-08-25 03:00:00+00:00,24,44096.0917875,36628.6694325,35890.71333,37831.4689225,40500.5468675,34335.933000000005,39210.233895,42525.2581475,39512.78312864583,3066.7412302993343,46791.561370193456,44230.3100475,34335.933000000005,0.0,6940.7844525,1479.85725,0.0,3613.89425,0.0,34.8563,1059.33367,3663.27718,338.54767250000003,150.40693,857.715225,233.39135,18372.06428000001,0.0,0.4583394426540727,0.0595572687600023,0.7172905913923787,0.2151332513463205,5,0,8,2026,3,236,35,0,0.9659258262890684,0.2588190451025207,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_05,DE,Germany,2026-08-24 04:00:00+00:00,2026-08-25 04:00:00+00:00,24,50593.2572775,40533.6781825,36628.6694325,37045.1212675,42275.799395,35046.776285,39895.363155,47530.948545,39771.02251125,2866.255611953537,46779.706727544646,44230.3100475,35046.776285,0.06,6810.04343,1233.4545,0.0,3795.425075,0.0,66.278475,1054.987685,3718.323155,338.58089,150.40368,851.5373500000001,508.98505,18528.07929,3.2383281105874416e-06,0.4341247575695149,0.0605171287563072,0.6953309646053443,0.223121128763261,6,0,8,2026,3,236,35,0,1.0,6.123233995736766e-17,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_06,DE,Germany,2026-08-24 05:00:00+00:00,2026-08-25 05:00:00+00:00,24,53941.0603175,46495.4926325,40533.6781825,36164.6833825,41995.1126325,36662.9578125,42110.1084925,51849.4227775,40248.0523590625,2995.600433017084,46773.54329949404,46495.4926325,35579.50083,614.7407499999999,6661.6539875,1072.838,0.0,4354.4469425,0.0,88.04425,1101.43396,3901.97698,338.514,150.45593,849.266125,4274.869275,23408.2402,0.0262617242794697,0.330417490653569,0.0508145080466151,0.5741861760073703,0.2004832871844847,7,0,8,2026,3,236,35,0,0.9659258262890684,-0.2588190451025206,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_07,DE,Germany,2026-08-24 06:00:00+00:00,2026-08-25 06:00:00+00:00,24,55893.270245,51193.23583,46495.4926325,35579.50083,41491.1322325,40067.3093675,44491.87448,54423.1730125,40853.48060979167,3638.802971180564,46769.63742480655,51193.23583,35579.50083,6374.502,5600.144015,927.7905,0.0,4448.860549999999,0.0,56.745125,1159.69596,3998.237055,338.379,150.42668,848.804425,4325.286975,28228.872285,0.2258149718360242,0.2312502762807409,0.043092089287831,0.6417937802151207,0.1695866381649188,8,0,8,2026,3,236,35,0,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_08,DE,Germany,2026-08-24 07:00:00+00:00,2026-08-25 07:00:00+00:00,24,57316.8631375,54474.4851525,51193.23583,35890.71333,40657.1111225,43266.6339875,46918.07913,56860.562535000005,41453.77960083333,4572.153373808467,46769.94285421131,54474.4851525,35579.50083,17694.237,3968.4476125,622.24925,0.0,4027.80276,0.0,46.13705,1186.0931,3953.91953,338.6315,150.37343,850.193925,1870.707875,34708.793032500005,0.509791192780221,0.1322632238522798,0.0355019590812675,0.791473316769532,0.1258019619383317,9,0,8,2026,3,236,35,0,0.7071067811865476,-0.7071067811865475,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_09,DE,Germany,2026-08-24 08:00:00+00:00,2026-08-25 08:00:00+00:00,24,57257.7669075,55496.79274,54474.4851525,36628.6694325,39449.719985,44073.8617875,48064.44226,58037.2458075,41963.36954885416,5391.188059473518,46761.82517686012,55496.79274,35579.50083,30195.591,2701.8895975,414.486,0.0,2882.7755975,0.0,31.027225,1223.14042,3855.536055,338.4473325,150.41418,856.250775,258.533625,42908.09180749999,0.7037271928909702,0.0726290885057555,0.0292291638282731,0.8954411319401576,0.0750726213706142,10,0,8,2026,3,236,35,0,0.4999999999999999,-0.8660254037844387,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_10,DE,Germany,2026-08-24 09:00:00+00:00,2026-08-25 09:00:00+00:00,24,56496.5963775,55283.36325,55496.79274,40533.6781825,37831.4689225,44230.3100475,48079.1926475,59144.1610275,42430.43210979167,6029.728583477395,46745.43301877977,55496.79274,35579.50083,38593.331,2572.66053,376.4115,0.0,2256.5690575,0.0,29.888325,1264.639425,3725.786155,338.3823325,150.44018,861.7980749999999,4.8591,50174.76568,0.7691781013216283,0.0587760000476797,0.0258003745997763,0.9280106504525286,0.051718256275472,11,0,8,2026,3,236,35,0,0.258819045102521,-0.9659258262890682,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_11,DE,Germany,2026-08-24 10:00:00+00:00,2026-08-25 10:00:00+00:00,24,55393.1148625,54670.921275,55283.36325,46495.4926325,37045.1212675,43576.953745,46156.4029075,59083.0404225,42865.45757760417,6521.781227777329,46718.80659168155,55496.79274,35579.50083,42407.13175,2650.4253,358.024,0.0,2130.7820175,0.0,32.079025,1298.696465,3639.041955,338.444,150.55843,860.914675,17.4581,53883.55571750001,0.7870143531791323,0.0558324197417976,0.0246972470966276,0.935079317318254,0.0458252241267377,12,0,8,2026,3,236,35,0,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_12,DE,Germany,2026-08-24 11:00:00+00:00,2026-08-25 11:00:00+00:00,24,55104.0138075,54492.878945,54670.921275,51193.23583,36164.6833825,42447.2043475,44945.585075,58049.324555,43320.28779427084,6940.740804477709,46691.48420193452,55496.79274,35579.50083,45203.83825,2570.47133,277.1685,0.0,1959.725825,0.0,5.245075,1344.65317,3568.00368,338.3456675,150.43518,863.0499,6.425325,56287.36190249999,0.8030903691720589,0.050591104890164,0.0239822617257897,0.941052808563895,0.0408274862211641,13,0,8,2026,3,236,35,0,-0.2588190451025208,-0.9659258262890684,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
LIVE_DE_h24_13,DE,Germany,2026-08-24 12:00:00+00:00,2026-08-25 12:00:00+00:00,24,53856.089665,54110.6026175,54492.878945,54474.4851525,35579.50083,40743.3489325,43641.8042275,55791.4712225,43806.2627221875,7277.1226014177955,46668.039428497024,55496.79274,35579.50083,45178.3475,2477.77605,275.9095,0.0,1952.343365,0.0,3.561675,1337.252915,3533.8764300000003,338.3473325,150.42343,868.070125,28.7782,56144.68652250001,0.8046771706863972,0.0490462360832036,0.0238814155541267,0.9405471352812288,0.0407997771362033,14,0,8,2026,3,236,35,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,0,,,
