case_id,llm,shap_model,country_code,horizon,status,total_abs_shap,matched_abs_shap,feature_agreement,feature_agreement_pct,n_shap_features,n_mentioned,mentioned_features,unmentioned_features,direction_agreement,direction_agreement_pct,n_directional_claims,n_correct_direction,has_directional_claims,country_name,error_pct,error_tier
LIVE_PT_h24_10,gemma,XGBoost,PT,24,ok,1973.8324,416.5753,0.211,21.1,10,3,wind_onshore_mw_lag1h|is_weekend|solar_mw_lag1h,month|lag_48h|lag_1h|hour_sin|rolling_min_24h|lag_12h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,0.6847181266261954,low
LIVE_PT_h24_10,gemma,LightGBM,PT,24,ok,2087.2775,351.1133,0.1682,16.82,10,2,wind_onshore_mw_lag1h|is_weekend,month|lag_48h|hour_sin|lag_1h|week_of_year|wind_offshore_mw_lag1h|rolling_min_24h|lag_12h,,,0,0,False,Portugal,0.6847181266261954,low
LIVE_PT_h24_11,gemma,XGBoost,PT,24,ok,1979.9138,456.993,0.2308,23.08,10,3,wind_onshore_mw_lag1h|lag_1h|solar_mw_lag1h,month|lag_48h|hour_sin|is_weekend|lag_12h|rolling_min_24h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,3.055508006411345,medium
LIVE_PT_h24_11,gemma,LightGBM,PT,24,ok,2078.3422,344.4418,0.1657,16.57,10,2,wind_onshore_mw_lag1h|lag_1h,month|lag_48h|hour_sin|is_weekend|wind_offshore_mw_lag1h|week_of_year|rolling_min_24h|dow_sin,,,0,0,False,Portugal,3.055508006411345,medium
LIVE_PT_h24_12,gemma,XGBoost,PT,24,ok,1981.2792,70.9936,0.0358,3.58,10,1,solar_mw_lag1h,month|lag_48h|wind_onshore_mw_lag1h|lag_1h|hour_sin|is_weekend|lag_12h|rolling_min_24h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,1.0707111351853316,low
LIVE_PT_h24_12,gemma,LightGBM,PT,24,ok,2079.1385,0.0,0.0,0.0,10,0,,month|lag_48h|wind_onshore_mw_lag1h|hour_sin|is_weekend|lag_1h|wind_offshore_mw_lag1h|week_of_year|rolling_min_24h|dow_sin,,,0,0,False,Portugal,1.0707111351853316,low
LIVE_PT_h24_13,gemma,XGBoost,PT,24,ok,1979.8598,268.6387,0.1357,13.57,10,2,wind_onshore_mw_lag1h|solar_mw_lag1h,month|lag_48h|lag_1h|hour_sin|is_weekend|lag_12h|rolling_min_24h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,3.906291571607598,high
LIVE_PT_h24_13,gemma,LightGBM,PT,24,ok,2079.6191,214.1039,0.103,10.3,10,1,wind_onshore_mw_lag1h,month|lag_48h|hour_sin|is_weekend|lag_1h|wind_offshore_mw_lag1h|week_of_year|rolling_min_24h|dow_sin,,,0,0,False,Portugal,3.906291571607598,high
LIVE_PT_h24_14,gemma,XGBoost,PT,24,ok,1979.8887,268.3444,0.1355,13.55,10,2,wind_onshore_mw_lag1h|solar_mw_lag1h,month|lag_48h|lag_1h|hour_sin|is_weekend|lag_12h|rolling_min_24h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,5.82980337820006,high
LIVE_PT_h24_14,gemma,LightGBM,PT,24,ok,2079.5966,214.1039,0.103,10.3,10,1,wind_onshore_mw_lag1h,month|lag_48h|hour_sin|is_weekend|lag_1h|wind_offshore_mw_lag1h|week_of_year|rolling_min_24h|dow_sin,,,0,0,False,Portugal,5.82980337820006,high
LIVE_PT_h24_15,gemma,XGBoost,PT,24,ok,1981.617,72.2902,0.0365,3.65,10,1,solar_mw_lag1h,month|lag_48h|wind_onshore_mw_lag1h|lag_1h|hour_sin|is_weekend|lag_12h|rolling_min_24h|wind_offshore_mw_lag1h,,,0,0,False,Portugal,6.0448174597877635,high
